Title,Link,Categories
Manipulating the permeation of charged compounds through the MscL nanovalve.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3005423/,[]
The oligomeric state of the truncated mechanosensitive channel of large conductance shows no variance in vivo.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3190158/,[]
Three routes to modulate the pore size of the MscL channel/nanovalve,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3289768/,[]
The dynamics of protein-protein interactions between domains of MscL at the cytoplasmic-lipid interface,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3508904/,['Macromolecule Interactions']
The MscS and MscL families of mechanosensitive channels act as microbial emergency release valves,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3430326/,['Microorganism and Viruses']
Chimeras reveal a single lipid-interface residue that controls MscL channel kinetics as well as mechanosensitivity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3593973/,['Macromolecule Interactions']
Evidence for extensive horizontal gene transfer from the draft genome of a tardigrade,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5018776/,['Genetics']
Reply to Bemm et al. and Arakawa: Identifying foreign genes in independent Hypsibius dujardini genome assemblies,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4896697/,['Genetics']
Tardigrades Use Intrinsically Disordered Proteins to Survive Desiccation.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11127935/,"['Invertebrates', 'Macromolecule Interactions']"
Desiccation of Hypsibius exemplaris,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11831363/,[]
The biology of tardigrade disordered proteins in extreme stress tolerance.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11930778/,"['Metabolism & Cellular Stress', 'Macromolecule Interactions']"
Production of reactive oxygen species and involvement of bioprotectants during anhydrobiosis in the tardigrade Paramacrobiotus spatialis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8816950/,[]
Partial weight suspension: A novel murine model for investigating adaptation to reduced musculoskeletal loading.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3774184/,"['Altered Gravity', 'Musculoskeletal', 'Rodents']"
"Partial reductions in mechanical loading yield proportional changes in bone density, bone architecture, and muscle mass",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4118556/,['Musculoskeletal']
Spaceflight and hind limb unloading induce similar changes in electrical impedance characteristics of mouse gastrocnemius muscle,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4653813/,"['Altered Gravity', 'Musculoskeletal', 'Rodents']"
Spaceflight Activates Lipotoxic Pathways in Mouse Liver,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6915713/,"['Altered Gravity', 'Rodents']"
Treatment with a soluble bone morphogenetic protein type 1A receptor (BMPR1A) fusion protein increases bone mass and bone formation in mice subjected to hindlimb unloading.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6124165/,"['Musculoskeletal', 'Rodents', 'Genetics', 'Macromolecule Interactions']"
RNAseq and RNA molecular barcoding reveal differential gene expression in cortical bone following hindlimb unloading in female mice,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8509868/,"['Musculoskeletal', 'Rodents', 'Genetics']"
Proteomic and phosphoproteomic characterization of cardiovascular tissues after long term exposure to simulated space radiation,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11063234/,"['Radiation', 'Cardiovascular & Vascular']"
Adaptive Changes in the Vestibular System of Land Snail to a 30-Day Spaceflight and Readaptation on Return to Earth,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5672023/,"['Altered Gravity', 'Neuroscience & Sensory', 'Invertebrates']"
"Morphology of the Utricular Otolith Organ in the Toadfish, Opsanus tau",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5899691/,['Invertebrates']
"Influence of Magnitude and Duration of Altered Gravity and Readaptation to 1g on the Structure and Function of the Utricle in Toadfish, Opsanus tau.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6204554/,"['Altered Gravity', 'Rodents', 'Invertebrates']"
Organization of the ER-Golgi interface for membrane traffic control.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4064004/,['Macromolecule Interactions']
IRE1: ER stress sensor and cell fate executor.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3818365/,['Metabolism & Cellular Stress']
Inter-regulation of the unfolded protein response and auxin signaling.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3981873/,['Macromolecule Interactions']
Endoplasmic reticulum-shape and function in stress translation,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4150462/,['Metabolism & Cellular Stress']
Galactose-depleted xycoglucan is dysfunctional and leads to dwarfism in Arabidopsis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4378170/,['Plants']
"Unfolded protein response in plants: one master, many questions.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4618186/,"['Plants', 'Macromolecule Interactions']"
Vesicles versus Tubes: Is Endoplasmic Reticulum-Golgi Transport in Plants Fundamentally Different from Other Eukaryotes?,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4453782/,['Plants']
Pectin methylesterification impacts the relationship between photosynthesis and plant growth.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4902601/,"['Plants', 'Genetics']"
Reduced Chloroplast Coverage genes from Arabidopsis thaliana help to establish the size of the chloroplast compartment,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4776492/,"['Plants', 'Genetics']"
Maintaining the factory: The roles of the unfolded protein response in cellular homeostasis in plants.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5415411/,"['Plants', 'Macromolecule Interactions']"
NADPH oxidase activity is required for ER stress survival in plants.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6289879/,"['Metabolism & Cellular Stress', 'Plants']"
Relevance of the Unfolded Protein Response to Spaceflight-Induced Transcriptional Reprogramming in Arabidopsis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7987364/,"['Altered Gravity', 'Plants', 'Genetics', 'Macromolecule Interactions']"
Reanalysis of the Mars500 experiment reveals common gut microbiome alterations in astronauts induced by long-duration confinement,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8099722/,"['Mars', 'Humans', 'Rodents', 'Microorganism and Viruses']"
"High atomic weight, high-energy radiation (HZE) induces transcriptional responses shared with conventional stresses in addition to a core ""DSB"" response specific to clastogenic treatments",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5116466/,"['Radiation', 'Metabolism & Cellular Stress', 'Genetics']"
Genomic stability in response to high versus low linear energy transfer radiation in Arabidopsis thaliana,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4033213/,"['Radiation', 'Plants', 'Genetics']"
Acceleration profiles and processing methods for parabolic flight.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6081456/,"['Altered Gravity', 'Rodents']"
Cytoskeleton structure and total methylation of mouse cardiac and lung tissue during space flight.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5955502/,"['Altered Gravity', 'Cardiovascular & Vascular', 'Rodents', 'Genetics']"
Toward countering muscle and bone loss with spaceflight: GSK3 as a potential target,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10285634/,"['Altered Gravity', 'Musculoskeletal']"
Spaceflight increases sarcoplasmic reticulum Ca2+ leak and this cannot be counteracted with BuOE treatment,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11271499/,['Altered Gravity']
Cardiovascular progenitor cells cultured aboard the International Space Station exhibit altered developmental and functional properties,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6062551/,"['ISS', 'Cardiovascular & Vascular', 'Genetics']"
Inter-agency perspective: Translating advances in biomarker discovery and medical countermeasures development between terrestrial and space radiation environments,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9832585/,['Radiation']
Genomic and functional characterization of Enterococcus faecalis isolates recovered from the International Space Station and their potential for pathogenicity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7829349/,"['ISS', 'Immune Response & Infection', 'Genetics']"
Evaluation of in vitro macrophage differentiation during space flight.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3570223/,"['Altered Gravity', 'Immune Response & Infection', 'Reproduction & Sex Differences']"
Identification of critical host mitochondrion-associated genes during Ehrlichia chaffeensis infections,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3457586/,"['Immune Response & Infection', 'Genetics']"
Ehrlichia chaffeensis replication sites in adult Drosophila melanogaster.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3558598/,['Invertebrates']
Development and characterization of two porcine monocyte-derived macrophage cell lines.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11046949/,['Immune Response & Infection']
Understanding macrophage differentiation during space flight: The importance of ground-based experiments before space flight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3890248/,"['Altered Gravity', 'Immune Response & Infection']"
Bone marrow leptin signaling mediates obesity-associated adipose tissue inflammation in male mice.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3868799/,"['Musculoskeletal', 'Immune Response & Infection', 'Metabolism & Cellular Stress', 'Rodents']"
Establishment and characterization of DB-1: a leptin receptor-deficient murine macrophage cell line,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4960141/,"['Immune Response & Infection', 'Rodents']"
Validation of methods to assess the immunoglobulin gene repertoire in tissues obtained from mice on the International Space Station.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5736159/,"['ISS', 'Rodents', 'Genetics']"
Characterization of the naive murine antibody repertoire using unamplified high-throughput sequencing,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5761896/,['Rodents']
Effects of spaceflight on the immunoglobulin repertoire of unimmunized C57BL/6 mice,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5826609/,"['Altered Gravity', 'Rodents']"
A comparison of unamplified and massively multiplexed PCR amplification for murine antibody repertoire sequencing.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6366624/,['Rodents']
Effects of skeletal unloading on the antibody repertoire of tetanus toxoid and/or CpG treated C57BL/6J mice.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11929063/,"['Musculoskeletal', 'Rodents']"
Effects of skeletal unloading on the bone marrow antibody repertoire of tetanus toxoid and/or CpG treated C57BL/6J mice.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11929063/,"['Musculoskeletal', 'Rodents']"
An Analysis of the Effects of Spaceflight and Vaccination on Antibody Repertoire Diversity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10996920/,['Altered Gravity']
Effects of spaceflight aboard the International Space Station on mouse estrous cycle and ovarian gene expression,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7954810/,"['Altered Gravity', 'ISS', 'Reproduction & Sex Differences', 'Rodents', 'Genetics']"
Effect of spaceflight on Pseudomonas aeruginosa final cell density is modulated by nutrient and oxygen availability.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4228280/,['Altered Gravity']
Spaceflight promotes biofilm formation by Pseudomonas aeruginosa.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3639165/,"['Altered Gravity', 'Microorganism and Viruses']"
GeneLab: Omics database for spaceflight experiments,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8044432/,"['Altered Gravity', 'Genetics']"
NASA GeneLab: Interfaces for the exploration of space omics data,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7778922/,"['Rodents', 'Genetics']"
Comprehensive multi-omics analysis reveals mitochondrial stress as a central biological hub for spaceflight impact,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7870178/,"['Altered Gravity', 'Metabolism & Cellular Stress']"
A New Era for Space Life Science: International Standards for Space Omics Processing,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7733874/,['Genetics']
Knowledge Network Embedding of Transcriptomic Data from Spaceflown Mice Uncovers Signs and Symptoms Associated with Terrestrial Diseases,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7828077/,"['Rodents', 'Genetics']"
NASA GeneLab RNA-Seq Consensus Pipeline: Standardized Processing of Short-Read RNA-Seq Data,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8044432/,['Genetics']
Spatially resolved multiomics on the neuronal effects induced by spaceflight in mice,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11166911/,"['Altered Gravity', 'Rodents']"
Biological horizons: pioneering open science in the cosmos,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11167097/,[]
Inspiration4 data access through the NASA Open Science Data Repository,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11094041/,['Rodents']
NASA GeneLab derived microarray studies of Mus musculus and Homo sapiens organisms in altered gravitational conditions.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11053165/,['Genetics']
Celebrating 30 years of access to NASA space life sciences data,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11403809/,['Rodents']
Dichotomous effects on lymphatic transport with loss of caveolae in mice.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8513672/,['Rodents']
Fungal diversity differences in the indoor dust microbiome from built environments on Earth and in space.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11126634/,['Microorganism and Viruses']
Predicting how varying moisture conditions impact the microbiome of dust collected from the International Space Station,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11386075/,"['ISS', 'Microorganism and Viruses', 'Genetics']"
Aging and estrogen status: A possible endothelium-dependent vascular coupling mechanism in bone remodeling.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3502426/,"['Musculoskeletal', 'Cardiovascular & Vascular', 'Metabolism & Cellular Stress']"
Chronic skeletal unloading of the rat femur: mechanisms and functional consequences of vascular remodeling.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3856860/,"['Musculoskeletal', 'Cardiovascular & Vascular', 'Rodents']"
Differential effects of aging and exercise on intra-abdominal adipose arteriolar function and blood flow regulation.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3615599/,"['Cardiovascular & Vascular', 'Metabolism & Cellular Stress']"
Effects of spaceflight and ground recovery on mesenteric artery and vein constrictor properties in mice.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4050424/,"['Altered Gravity', 'Cardiovascular & Vascular', 'Rodents']"
"Spaceflight-induced alterations in cerebral artery vasoconstrictor, mechanical, and structural properties: Implications for elevated cerebral perfusion and intracranial pressure",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3659353/,"['Altered Gravity', 'Cardiovascular & Vascular', 'Rodents']"
Exercise training augments regional bone and marrow blood flow during exercise.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4169763/,"['Musculoskeletal', 'Cardiovascular & Vascular']"
Effects of Skeletal Unloading on the Vasomotor Properties of the Rat Femur Principal Nutrient Artery,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4398884/,"['Musculoskeletal', 'Cardiovascular & Vascular', 'Rodents']"
Type 2 diabetes alters bone and marrow blood flow and vascular control mechanisms in the ZDF rat.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4379453/,"['Musculoskeletal', 'Cardiovascular & Vascular', 'Rodents']"
Spaceflight on the Bion-M1 biosatellite alters cerebral artery vasomotor and mechanical properties in mice,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4385880/,"['Altered Gravity', 'Cardiovascular & Vascular', 'Rodents']"
Apollo Lunar Astronauts Show Higher Cardiovascular Disease Mortality: Possible Deep Space Radiation Effects on the Vascular Endothelium,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4964660/,"['Radiation', 'Moon', 'Cardiovascular & Vascular', 'Humans']"
Effects of age and exercise training on coronary microvascular smooth muscle phenotype and function,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5866446/,"['Musculoskeletal', 'Cardiovascular & Vascular']"
Impact of Spaceflight and Artificial Gravity on the Mouse Retina: Biochemical and Proteomic Analysis.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6165321/,"['Altered Gravity', 'Neuroscience & Sensory', 'Rodents']"
Simulated microgravity induces regionally distinct neurovascular and structural remodeling of skeletal muscle and cutaneous arteries in the rat,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7339929/,"['Altered Gravity', 'Musculoskeletal', 'Cardiovascular & Vascular', 'Rodents']"
Spaceflight decelerates the epigenetic clock orchestrated with a global alteration in DNA methylome and transcriptome in the mouse retina,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8220224/,"['Altered Gravity', 'Neuroscience & Sensory', 'Rodents', 'Genetics']"
Development of otolith receptors in Japanese quail.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2910419/,[]
Spatial and temporal characteristics of vestibular convergence,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3166430/,['Neuroscience & Sensory']
Bone remodeling is regulated by inner ear vestibular signals,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6615562/,"['Musculoskeletal', 'Neuroscience & Sensory']"
Simulated Microgravity Enhances Oligodendrocyte Mitochondrial Function and Lipid Metabolism,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7324008/,"['Altered Gravity', 'Neuroscience & Sensory', 'Metabolism & Cellular Stress', 'Macromolecule Interactions']"
Human Neural Stem Cells Flown into Space Proliferate and Generate Young Neurons,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8412175/,"['Immune Response & Infection', 'Humans', 'Rodents', 'Genetics']"
Delayed Maturation of Oligodendrocyte Progenitors by Microgravity: Implications for Multiple Sclerosis and Space Flight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10607959/,"['Altered Gravity', 'Cardiovascular & Vascular', 'Neuroscience & Sensory', 'Rodents']"
Space Microgravity Alters Neural Stem Cell Division: Implications for Brain Cancer Research on Earth and in Space,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9699585/,"['Altered Gravity', 'Neuroscience & Sensory', 'Immune Response & Infection']"
Oligodendrocyte Progenitors Display Enhanced Proliferation and Autophagy after Space Flight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9953055/,"['Altered Gravity', 'Cardiovascular & Vascular', 'Neuroscience & Sensory', 'Rodents']"
Metabolomics profile of the secretome of space-flown oligodendrocytes.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10528075/,['Neuroscience & Sensory']
Metabolomic profiling of the secretome from human neural stem cells flown into space.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10813126/,"['Immune Response & Infection', 'Humans']"
"Strategies, research priorities, and challenges for the exploration of space beyond low-Earth orbit",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10390562/,['Rodents']
Spaceflight Induces Specific Alterations in the Proteomes of Arabidopsis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4290804/,"['Altered Gravity', 'Rodents', 'Plants']"
The effect of spaceflight on the gravity-sensing auxin gradient of roots: GFP reporter gene microscopy on orbit.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5515520/,"['Altered Gravity', 'Plants', 'Genetics']"
Skewing in Arabidopsis roots involves disparate environmental signaling pathways.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5286820/,"['Rodents', 'Plants']"
"Data for characterization of SALK_084889, a T-DNA insertion line of Arabidopsis thaliana",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5470433/,"['Plants', 'Genetics']"
Genetic dissection of the Arabidopsis spaceflight transcriptome: Are some responses dispensable for the physiological adaptation of plants to spaceflight?,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5491145/,"['Altered Gravity', 'Plants', 'Genetics']"
Phenotypic characterization of an Arabidopsis T- DNA insertion line SALK_063500,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5996828/,"['Plants', 'Genetics']"
